Source,Reference_number,Duplicate_record,soil.id,Reference,Latitude_deg,Longitude_deg,Soil_type,Depth_cm,Ecosystem_type,climate,Temp_mean,q10calc,substrate,Q10,corg,norg,clay,ph
Hamdi2013,21,,81,Fierer et al. 2003,34_42'N,120_03'W,Fierer_5–15,,grassland,warm,22.5,equal-time,N,3,2,,,
Hamdi2013,22,y,82,Fierer et al. 2006,,,Fierer-Boreal,,tundra,cold,20,equal-time,N,2.7,,,,
Hamdi2013,22,y,83,Fierer et al. 2006,,,Fierer-DryFor,,forest,warm,20,equal-time,N,2.8,,,,
Hamdi2013,22,y,84,Fierer et al. 2006,,,Fierer-DryGrass,,grassland,warm,20,equal-time,N,2.9,,,,
Hamdi2013,22,y,85,Fierer et al. 2006,,,Fierer-TempFor,,forest,temperate,20,equal-time,N,2.9,,,,
Hamdi2013,22,y,86,Fierer et al. 2006,,,Fierer-TempGrass,,grassland,temperate,20,equal-time,N,3.1,,,,
Hamdi2013,22,y,87,Fierer et al. 2006,,,Fierer-TropFor,,grassland,warm,20,equal-time,N,3.3,,,,
Hamdi2013,23,,88,Fissore et al. 2009,,,Various,0 to 20,forest,,20,equal-time,N,1.95,,,,
Hamdi2013,23,,88,Fissore et al. 2009,,,Various,0 to 20,forest,,20,equal-C,N,1.44,,,,
Hamdi2013,24,,89,Gershenson et al. 2009,,,Gersh-Farm,,cultivated,temperate,5,equal-time,Y,4.65,,,,
Hamdi2013,24,,89,Gershenson et al. 2009,,,Gersh-Farm,,cultivated,temperate,5,equal-time,N,6.27,,,,
Hamdi2013,24,,89,Gershenson et al. 2009,,,Gersh-Farm,,cultivated,temperate,16,equal-time,Y,2.47,,,,
Hamdi2013,24,,89,Gershenson et al. 2009,,,Gersh-Farm,,cultivated,temperate,16,equal-time,N,1.83,,,,
Hamdi2013,24,,89,Gershenson et al. 2009,,,Gersh-Farm,,cultivated,temperate,26,equal-time,Y,1.78,,,,
Hamdi2013,24,,89,Gershenson et al. 2009,,,Gersh-Farm,,cultivated,temperate,26,equal-time,N,1.69,,,,
Hamdi2013,24,,90,Gershenson et al. 2009,,,Gersh-Ga,,grassland,temperate,5,equal-time,Y,3.99,,,,
Hamdi2013,24,,90,Gershenson et al. 2009,,,Gersh-Ga,,grassland,temperate,5,equal-time,N,2.9,,,,
